,name,handedness,height,weight,avg,HR,weight_cat,height_cat
284,Rick Manning,L,73,180,0.257,56,Medium,Medium
285,Israel Sanchez,L,69,170,0.0,0,Low,Low
286,Steve Burke,B,74,200,0.0,0,High,Medium
287,Gary Matthews,R,74,185,0.281,234,Medium,Medium
288,Cesar Geronimo,L,72,165,0.258,51,Low,Low
289,Billy Bryan,L,76,200,0.21600000000000003,41,High,High
290,Terry Taylor,R,73,180,0.0,0,Medium,Medium
291,Terry Whitfield,L,73,197,0.281,33,High,Medium
292,Mario Mendoza,R,71,170,0.215,4,Low,Low
293,Fred Lynn,L,73,185,0.28300000000000003,306,Medium,Medium
294,Larry Hisle,R,74,193,0.273,166,High,Medium
295,Graig Nettles,L,72,180,0.248,390,Medium,Low
296,Randy Nosek,R,76,215,0.0,0,High,High
297,Dave Engle,R,75,210,0.262,31,High,High
298,Narciso Elvira,L,70,160,0.0,0,Low,Low
299,Mike Easler,L,72,190,0.293,118,Medium,Low
300,Mark Smith,R,74,215,0.0,0,High,Medium
301,Paul Mitchell,R,73,195,0.0,0,High,Medium
302,Rick Sweet,B,73,200,0.23399999999999999,6,High,Medium
303,Thurman Munson,R,71,190,0.292,113,Medium,Low
304,Rick Monday,L,75,193,0.264,241,High,High
305,Mike Sadek,R,69,165,0.226,5,Low,Low
306,Mark Belanger,R,73,170,0.228,20,Low,Medium
307,Ron Hunt,R,72,186,0.273,39,Medium,Low
308,Joe Keough,L,72,185,0.24600000000000002,9,Medium,Low
309,Butch Edge,R,75,203,0.0,0,High,High
310,Vic Correll,R,70,185,0.22899999999999998,29,Medium,Low
311,Jackie Hernandez,R,71,165,0.20800000000000002,12,Low,Low
312,Tony Solaita,L,72,210,0.255,50,High,Low
313,U L Washington,B,71,175,0.251,27,Low,Low
314,Gary Mielke,R,75,185,0.0,0,Medium,High
315,Rick Henninger,R,78,225,0.0,0,High,High
316,Joe Foy,R,72,215,0.248,58,High,Low
317,Ed Goodson,L,75,180,0.26,30,Medium,High
318,Mark Brown,B,74,190,0.0,0,Medium,Medium
319,Mickey Klutts,R,71,170,0.24100000000000002,14,Low,Low
320,Leroy Stanton,R,73,195,0.244,77,High,Medium
321,Rafael Vasquez,R,72,160,0.0,0,Low,Low
322,Len Whitehouse,L,71,175,0.0,0,Low,Low
323,Danny Ainge,R,76,175,0.22,2,Low,High
324,Adolfo Phillips,R,73,175,0.247,59,Low,Medium
325,Marv Breeding,R,72,175,0.25,7,Low,Low
326,Steve Adkins,R,78,210,0.0,0,High,High
327,Dick McAuliffe,L,71,176,0.247,197,Low,Low
328,Joe Horlen,R,72,170,0.134,0,Low,Low
329,Glenn Burke,R,72,195,0.237,2,High,Low
330,Tony Mack,R,70,177,0.0,0,Low,Low
331,Terry Humphrey,R,75,185,0.21100000000000002,6,Medium,High
332,Bill Moran,R,76,210,0.0,0,High,High
333,Enzo Hernandez,R,68,155,0.22399999999999998,2,Low,Low
334,Cesar Gutierrez,R,69,155,0.235,0,Low,Low
335,Coco Laboy,R,70,165,0.233,28,Low,Low
336,Ted Kubiak,B,72,175,0.231,13,Low,Low
337,Jim Morrison,R,71,175,0.26,112,Low,Low
338,Tom Gilles,R,73,185,0.0,0,Medium,Medium
339,Bobby Knoop,R,73,170,0.23600000000000002,56,Low,Medium
340,Bobby Brown,B,74,190,0.245,26,Medium,Medium
341,Tom Hutton,L,71,180,0.248,22,Medium,Low
342,Ron Hodges,L,73,185,0.24,19,Medium,Medium
343,Rich Chiles,L,71,170,0.254,6,Low,Low
344,Tom Paciorek,R,76,215,0.282,86,High,High
345,Gary Woods,R,74,185,0.243,13,Medium,Medium
346,Bob Montgomery,R,73,195,0.258,23,High,Medium
347,Jeff Burroughs,R,73,200,0.261,240,High,Medium
348,Rusty Staub,L,74,190,0.27899999999999997,292,Medium,Medium
349,Jim Norris,L,70,175,0.264,7,Low,Low
350,Oscar Gamble,L,71,160,0.265,200,Low,Low
351,Bob Kammeyer,R,76,210,0.0,0,High,High
352,George Vukovich,L,72,198,0.268,27,High,Low
353,Joe Pactwa,L,71,185,0.0,0,Medium,Low
354,Craig Reynolds,L,73,175,0.256,42,Low,Medium
355,Paul Blair,R,72,168,0.25,134,Low,Low
356,Al Cowens,R,73,197,0.27,108,High,Medium
357,Al Oliver,L,72,195,0.303,219,High,Low
358,Dave Hilton,R,71,191,0.213,6,High,Low
359,Luis Alvarado,R,69,162,0.214,5,Low,Low
360,Larry Parrish,R,75,190,0.263,256,Medium,High
361,Woodie Fryman,R,75,197,0.138,2,High,High
362,Bob Randall,R,74,175,0.257,1,Low,Medium
363,Jim Pankovits,R,70,170,0.25,9,Low,Low
364,Sherman Corbett,L,76,205,0.0,0,High,High
365,Carmen Fanzone,R,72,200,0.22399999999999998,20,High,Low
366,Gary Allenson,R,71,185,0.221,19,Medium,Low
367,Milt May,L,72,190,0.263,77,Medium,Low
368,Mike Vail,R,73,180,0.27899999999999997,34,Medium,Medium
369,Nick Esasky,R,75,200,0.25,122,High,High
370,Jim Nettles,L,72,186,0.22,16,Medium,Low
371,Lafayette Currence,B,71,175,0.0,0,Low,Low
372,Chris Cannizzaro,R,72,190,0.235,18,Medium,Low
373,Larry Biittner,L,74,205,0.273,29,High,Medium
374,John Pawlowski,R,74,175,0.0,0,Low,Medium
375,Mel Stottlemyre,R,73,178,0.16,7,Low,Medium
376,Jack Hardy,R,74,175,0.0,0,Low,Medium
377,Ron Musselman,R,74,185,0.0,0,Medium,Medium
378,Roy Smalley,B,73,185,0.257,163,Medium,Medium
379,Tony Chevez,R,71,177,0.0,0,Low,Low
380,Andy Messersmith,R,73,200,0.17,5,High,Medium
381,Richie Zisk,R,73,200,0.287,207,High,Medium
382,Dave Chalk,R,70,175,0.252,15,Low,Low
383,Don Baylor,R,73,190,0.26,338,Medium,Medium
384,John Vukovich,R,73,187,0.161,6,Medium,Medium
385,Danny Thompson,R,72,183,0.248,15,Medium,Low
386,Joe Simpson,L,75,175,0.242,9,Low,High
387,Bill Fahey,L,72,200,0.24100000000000002,7,High,Low
388,Doug Camilli,R,71,195,0.19899999999999998,18,High,Low
389,Bernie Allen,L,72,175,0.239,73,Low,Low
390,Bruce Bochy,R,75,205,0.239,26,High,High
391,Gary Ignasiak,R,71,185,0.0,0,Medium,Low
392,Claudell Washington,L,72,190,0.278,164,Medium,Low
393,John Donaldson,L,71,160,0.23800000000000002,4,Low,Low
394,Mike Smithson,L,80,215,0.0,0,High,High
395,John Mayberry,L,75,215,0.253,255,High,High
396,Ken Reitz,R,72,180,0.26,68,Medium,Low
397,Amos Otis,R,71,165,0.27699999999999997,193,Low,Low
398,Gene Alley,R,70,160,0.254,55,Low,Low
399,Ted Sizemore,R,70,165,0.262,23,Low,Low
400,Dan Briggs,L,72,180,0.195,12,Medium,Low
401,Joe Skalski,R,75,190,0.0,0,Medium,High
402,Doug Flynn,R,71,165,0.23800000000000002,7,Low,Low
403,Bert Bradley,B,73,190,0.0,0,Medium,Medium
404,Ken Holtzman,R,74,175,0.163,2,Low,Medium
405,Pete Ward,L,73,185,0.254,98,Medium,Medium
406,Kevin Bell,R,72,195,0.222,13,High,Low
407,Tom Nieto,R,73,193,0.205,5,High,Medium
408,Duke Sims,L,74,197,0.239,100,High,Medium
409,Larvell Blanks,R,68,167,0.253,20,Low,Low
410,Francisco Barrios,R,71,155,0.0,0,Low,Low
411,Mike Davis,L,74,175,0.259,91,Low,Medium
412,Jerry Reuss,L,77,200,0.16699999999999998,1,High,High
413,Steve Yeager,R,72,190,0.228,102,Medium,Low
414,Danny Goodwin,L,73,195,0.23600000000000002,13,High,Medium
415,Bud Harrelson,B,71,160,0.23600000000000002,7,Low,Low
416,Bob Knepper,L,75,195,0.13699999999999998,6,High,High
417,Mickey Rivers,L,70,165,0.295,61,Low,Low
418,Jim Northrup,L,75,190,0.267,153,Medium,High
419,John Hale,L,74,195,0.201,14,High,Medium
420,Reggie Ritter,L,74,195,0.0,0,High,Medium
421,Pedro Garcia,R,70,175,0.22,37,Low,Low
422,Carl Yastrzemski,L,71,175,0.285,452,Low,Low
423,Bob Babcock,R,77,210,0.0,0,High,High
424,Craig Eaton,R,71,175,0.0,0,Low,Low
425,Derrel Thomas,B,72,160,0.249,43,Low,Low
426,Art Howe,R,74,190,0.26,43,Medium,Medium
427,Ike Brown,R,72,190,0.256,20,Medium,Low
428,Howie Goss,R,76,204,0.21600000000000003,11,High,High
429,Glenn Borgmann,R,76,210,0.22899999999999998,16,High,High
430,Lamar Johnson,R,74,215,0.287,64,High,Medium
431,Julio Gonzalez,R,71,162,0.235,4,Low,Low
432,Bobby Klaus,R,70,170,0.20800000000000002,6,Low,Low
433,Manny Sanguillen,R,72,193,0.29600000000000004,65,High,Low
434,Gates Brown,L,71,220,0.257,84,High,Low
435,Johnny Ray,B,71,170,0.29,53,Low,Low
436,Jesus Alou,R,74,190,0.28,32,Medium,Medium
437,Ken Landreaux,L,70,165,0.268,91,Low,Low
438,Enos Cabell,R,76,170,0.27699999999999997,60,Low,High
439,Roy Branch,R,72,175,0.0,0,Low,Low
440,Billy North,B,71,185,0.261,20,Medium,Low
441,Juan Beniquez,R,71,150,0.27399999999999997,79,Low,Low
442,Frank Fernandez,R,72,185,0.19899999999999998,39,Medium,Low
443,Bombo Rivera,R,70,187,0.265,10,Medium,Low
444,Steve Brye,R,72,190,0.258,30,Medium,Low
445,Ron Jackson,R,72,200,0.259,56,High,Low
446,Roger Metzger,B,72,165,0.231,5,Low,Low
447,Rufino Linares,R,72,170,0.27,11,Low,Low
448,Ray Webster,L,72,185,0.244,17,Medium,Low
449,Bob Kearney,R,72,190,0.233,27,Medium,Low
450,Fergie Jenkins,R,77,205,0.165,13,High,High
451,Dick Dietz,R,73,195,0.261,66,High,Medium
452,Ted Cox,R,75,195,0.245,10,High,High
453,Bobby Mitchell,L,70,170,0.243,3,Low,Low
454,Bobby Mitchell,R,75,185,0.235,21,Medium,High
455,Barry Evans,R,73,180,0.251,2,Medium,Medium
456,Mickey Brantley,R,70,180,0.259,32,Medium,Low
457,Al Gallagher,R,72,180,0.263,11,Medium,Low
458,Rob Woodward,R,75,185,0.0,0,Medium,High
459,Hector Cruz,R,71,170,0.225,39,Low,Low
460,Fred Norman,B,68,155,0.125,0,Low,Low
461,Woody Woodward,R,74,180,0.23600000000000002,1,Medium,Medium
462,Ted Martinez,R,72,165,0.24,7,Low,Low
463,Jim Anderson,R,72,170,0.218,13,Low,Low
464,Lenn Sakata,R,69,160,0.23,25,Low,Low
465,Dave Duncan,R,74,190,0.214,109,Medium,Medium
466,Randy Jones,R,72,178,0.132,0,Low,Low
467,Dick Billings,R,73,195,0.22699999999999998,16,High,Medium
468,Bob Veselic,R,72,175,0.0,0,Low,Low
469,Bruce Bochte,L,75,195,0.282,100,High,High
470,Bernie Carbo,L,71,173,0.264,96,Low,Low
471,Vic Davalillo,L,67,150,0.27899999999999997,36,Low,Low
472,Burt Hooton,R,73,210,0.12300000000000001,4,High,Medium
473,Chuck Hockenbery,B,73,195,0.0,0,High,Medium
474,Bob Ferris,R,78,225,0.0,0,High,High
